Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,文化的要素の英訳句/語,ヴィネイとダルベルネの翻訳7分類,ベネットの異文化感受性モデル,備考
74,私はその人を常に先生と呼んでいた。だから～～使う気にならない,先生,"I never called him anything else, so I will write about him here only as the sensei without mentioning his name, not because of any hesitation in doing so, but simply because the sensei comes naturally to my mind when I think of him.",0.528726995,,the sensei,借用,受容,原文「先生」を「the sensei」と借用し、日本語固有の呼び方（異質性）をそのまま読者に提示している。
78,私が先生と知り合いになったのは鎌倉である。,鎌倉,It was in Kamakura that we first met.,0.5758598447,,Kamakura,借用,受容,「鎌倉」を「Kamakura」と借用し、日本の地名である異質性をそのまま読者に提示している。
79,その時私はまだ若々しい書生であった。,書生,I was a  young student then.,0.5670327544,,student,直訳,最小化,「書生」を「student」と直訳し、日本固有の含意（住み込みで学ぶ若者）を一般的な「学生」という上位概念に収束させ、固有性を最小化している。
79,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,葉書,"A friend who was staying there during the vacation asked me to come and spend a few days with him, and after waiting two or three days to raise the extra money, I went.",0.5670327544,,（削除）,翻案,否認,原文の「端書」は訳文から完全に削除され、「友人の誘い」という状況に翻案され、文化要素の存在自体が読者から隠されている。
95,宿は鎌倉でも辺鄙な方角にあった。,鎌倉,The lodging was in an out-of-the-way comer in  Kamakura.,0.6954759955,,Kamakura,借用,受容,原文の「鎌倉」を「Kamakura」とそのまま借用し、日本の固有名詞としての異質性（日本らしさ）を読者に提示している。
96,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で～取られた。,畷,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw. ",0.5146593451,,a long lane between the rice-fields,調整,最小化,原文「畷」を「a long lane between the rice-fields」と説明的に訳し、固有の文化要素を普遍的な物理的記述に収束させ文化差を最小化している。
97,玉突きだの～～届かなかった。車で行っても二十銭は取られた。,二十銭,"We could not reach such fashionable  enjoyments as billiards or ice-cream without travers-  ing a long lane between the rice-fields, and it cost  twenty sen to go by rickshaw.",0.4780345261,,twenty sen,借用,受容,「二十銭」を「twenty sen」と借用し、通貨単位「sen」の異質性をそのまま読者に提示することで、日本固有の文化要素を受容している。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,藁葺,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,(削除),翻案,否認,原文「藁葺」を含む情景描写が英訳から完全に削除されており、文化差の存在を読者に提示していない。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,都会人種,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,town people,直訳,最小化,「都会人種」を「town people」と直訳することで、日本語特有のニュアンスが薄まり、英語圏でも一般的な概念として提示されている。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,避暑,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,対応語句なし,調整,否認,原文の「避暑に来た男や女」は訳文から完全に削除され、文化差が存在しないという視点（否認）を読者に提示している。
102,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,銭湯,Sometimes the sea was  thronged with black heads like a public bath.,0.8508856297,,public bath,等価,最小化,「銭湯」を「public bath」と訳し、日本固有の公衆浴場を英語圏にも存在する一般的な上位概念に収束させ、文化的な固有性を最小化している。
107,その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。,掛茶屋,"There were two bathing-booths on the shore, but I picked out one of them haphazard and made it my head-quarters.",0.5533088446,,bathing-booths,翻案,適応,「掛茶屋」が持つ日本固有の文化性を、英語圏の海岸にある「bathing-booths」という機能的に類似した具体的な施設に置き換え、読者に文化差を感じさせないよう適応させている。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,西洋人,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,that foreigner,調整,最小化,原文「西洋人」を「foreigner」と調整し、特定の文化圏への言及を排し普遍的な「外国人」という上位概念に収束させ、文化差を最小化している。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,掛茶屋,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,booth,調整,最小化,原文「掛茶屋」を英語圏で一般的な「booth」と訳し、日本固有のニュアンスを排して、物理的な場所として一般化している。
124,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,浴衣,"He wore a real Japanese yukata,¹ which he took off and threw upon a bench in a bathhouse.",0.7087438703,1 A kind of kimono worn by men and women in summer.,yukata,借用,統合,「浴衣」を「yukata」と借用し、注釈で補足説明を付すことで、文化差を維持しつつ読者の理解を橋渡ししている。
126,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私には～～不思議だった。,猿股,"He had nothing on except  the short drawers which we wore, and this in itself  struck me as strange.",0.6402099133,,the short drawers,調整,最小化,「猿股」を「the short drawers」と訳し、日本固有性を排しつつ、機能的・物理的な一般表現に調整することで文化差を最小化している。
128,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,由比ヶ浜,"Two days before I had gone  to Yuigahama, where I lolled for a long time on the  sand, watching foreigners swim.",0.7063750625,,Yuigahama,借用,受容,原文「由井が浜」を「Yuigahama」と借用し、日本の地名という異質性をそのまま読者に提示している。
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",0.5947585106,,indifference to exposing his body,翻案,最小化,原文「猿股」という具体的文化語の状況を「身体を露出する」という普遍的表現に翻案し、日本固有性を抽象化・一般化して文化差を最小化している。
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.8240408301,,towel,直訳,最小化,原文の「手拭」を「towel」と直訳した結果、日本固有の文化的ニュアンスが失われ、英語圏で一般的な布という上位概念に収斂している。
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They stepped into  the waves at once, and passing through the multitude  who were screaming near the shore, went further  out to a considerably less crowded part, and began  to swim.",0.8221871853,,near the shore,調整,最小化,「遠浅の磯近くに」を「near the shore」と訳すことで、具体的な地形的特徴を一般的な場所に調整し、日本固有性を普遍化している。
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,"This time the sensei came alone, wearing a straw hat.",0.5644889474,,straw hat,直訳,最小化,原文「麦藁帽」を「straw hat」と直訳。これは世界中で見られる一般的な帽子であり、日本固有性を強調せず普遍的な物品として提示している。
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,白絣,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,2 A kind of cotten cloth.,shirogasuri yukata,借用,統合,「白絣」を「shirogasuri yukata」と借用し、注釈「A kind of cotten cloth」を付すことで、文化差を維持しつつ読者の理解（橋渡し）を図っている。
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,兵児帯,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,,hekoobi,借用,受容,原文「兵児帯」を「hekoobi」と借用し、日本語固有の文化要素（異質性）をそのまま読者に提示している。
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,But two or three days in the city dimmed the glamour of Kamakura.,0.6208797097,,Kamakura,借用,受容,原文「鎌倉」を「Kamakura」と借用し、固有名詞としての異質性をそのまま読者に提示することで、その日本固有性を保持している。
238,私はすぐ～～去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,下女,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",0.7617042661,,the maid,直訳,最小化,原文「下女」を「the maid」と直訳し、日本固有の身分制度上の女性使用人という文化的異質性を強調せず、英語圏でも一般的な「家政婦」という上位概念に収束させ、文化差を最小化している。
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,名刺,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",0.6171696782,,なし,翻案,否認,原文の「名刺」が英訳から完全に削除されている。「名刺を取り次いだ記憶」を「recognizing me as the visitor of the previous day」と翻案し、文化要素を省略（否認）している。
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,雑司ヶ谷,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,Zoshigaya,借用,受容,原文「雑司ヶ谷」を「Zoshigaya」と借用し、固有名詞の固有性（異質性）をそのまま読者に提示している。
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,仏,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,0.5485316515,,grave,調整,最小化,「仏」を「grave」と訳すことで、日本固有の宗教的・文化的ニュアンスを排し、普遍的な「墓」という物理的対象に調整し、文化差を最小化している。
246,それですぐ踵を回らした。,踵を回らした,So I turned round at once.,0.7727604508,,turned round,調整,最小化,原文「踵を回らした」を「turned round」と訳すことで、具体的な身体部位の描写から、一般的な動作表現へと視点を調整し、日本語表現の固有性を排して普遍的な行為として伝えている。
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。すると～～でてきた。,苗畑,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.6691185236,,field of young plants,直訳,最小化,「苗畠」を「field of young plants」と直訳することで、日本固有の農業形態を強調せず、普遍的な「若い植物の畑」という上位概念に収束させ、文化差を最小化している。
249,私は墓地の手前~~進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",0.5782812834,,restingbooth,調整,最小化,「茶店」を「restingbooth」と訳すことで、固有の「茶」要素を排し、両文化に共通する「休憩所」という上位概念に調整し、文化差を最小化している。
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,一切衆生悉有仏生,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,"""All living things possess the quality of Buddha""",直訳,最小化,「一切衆生悉有仏生」を普遍的かつ一般的な「All living things possess the quality of Buddha」と直訳し、文化的な固有性を最小化して提示している。
266,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,塔婆,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",0.6032501459,,a stupa,等価,受容,原文の「塔婆」を、英語圏で仏教概念として認知されている「stupa」に置換。これにより、日本固有の文化要素を異質なものとして提示しつつ、読者の理解を促す「受容」の段階にある。
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",0.5388599038,,those stones,調整,最小化,「墓標」を「those stones」と訳し、文化的な意味合いを物理的記述に調整することで、固有性を薄め普遍的な存在として提示している。
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"On the border of the walk stood a huge gingko-  tree, so tall that it seemed to be hiding the sky.",0.5639558434,,gingko- tree,借用,受容,原文「銀杏」を「gingko- tree」と英語圏で借用された語で訳出し、固有の樹木名としての異質性を読者に提示している。
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,紅葉,"It becomes very pretty in a few weeks: The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves",0.7328303456,,The leaves turn entirely yellow,直訳,最小化,原文「黄葉」を「The leaves turn entirely yellow」と直訳し、日本固有の紅葉の文化要素を普遍的な物理現象に最小化している。
