Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,文化的要素の英訳句/語,ヴィネイとダルベルネの翻訳7分類,ベネットの異文化感受性モデル,備考
74,私はその人を常に先生と呼んでいた。だから～～使う気にならない,先生,"I never called him anything else, so I will write about him here only as the sensei without mentioning his name, not because of any hesitation in doing so, but simply because the sensei comes naturally to my mind when I think of him.",0.528726995,,the sensei,Amplification,適応,原文「先生」を「the sensei」と借用し、その言葉が「名前を呼ばない敬意表現」という機能を持つことを説明（増幅）することで、ターゲット読者がその文化要素の機能を理解できるよう適応させている。
78,私が先生と知り合いになったのは鎌倉である。,鎌倉,It was in Kamakura that we first met.,0.5758598447,,Kamakura,Borrowing,受容,「鎌倉」を「Kamakura」と借用し、日本の固有地名をそのまま提示することで、読者にその文化的存在の受容を促している。
79,その時私はまだ若々しい書生であった。,書生,I was a  young student then.,0.5670327544,,student,Generalization,最小化,「書生」を「student」と一般化することで、日本特有の文化的背景を持つ学生像を普遍的な学生像に収束させ、文化差を最小化している。
79,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,葉書,"A friend who was staying there during the vacation asked me to come and spend a few days with him, and after waiting two or three days to raise the extra money, I went.",0.5670327544,,なし,Reduction,否認,原文の「端書」という情報が訳文から完全に削除され、その存在が否認されている。誘いの手段が不明瞭になっている。
95,宿は鎌倉でも辺鄙な方角にあった。,鎌倉,The lodging was in an out-of-the-way comer in Kamakura.,0.6954759955,,Kamakura,Borrowing,受容,原文「鎌倉」を「Kamakura」とそのまま借用し、日本の特定の地名としての文化的固有性を保持することで、読者にその差異の受容を促している。
96,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で～取られた。,畷,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw. ",0.5146593451,,a long lane between the rice-fields,Description,適応,原文「畷」を「a long lane between the rice-fields」と形態と機能を記述し、日本固有の地理的要素をターゲット読者が機能的に理解できるよう適応させている。
97,玉突きだの～～届かなかった。車で行っても二十銭は取られた。,二十銭,"We could not reach such fashionable  enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost  twenty sen to go by rickshaw.",0.4780345261,,twenty sen,Borrowing,受容,原文「二十銭」の「銭」を「sen」と借用することで、日本の旧通貨単位という文化固有性を維持し、読者にその存在を受容するよう促している。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,藁葺,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,なし,Reduction,否認,原文「藁葺」という日本の家屋構造を示す文化的要素が訳文から完全に削除されており、その存在と文化差を否認している。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,都会人種,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,town people,Generalization,最小化,原文の「都会人種」を「town people」と一般化することで、「人種」という語が持つ特定のニュアンスや文化的含意を排し、普遍的な「都会の人」という概念に収束（最小化）させている。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,避暑,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,なし,Reduction,否認,原文の「避暑」という、暑さを避ける目的の移動や行為を示す情報が、訳文では完全に削除されており、文化差の存在を否認している。
102,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,銭湯,Sometimes the sea was  thronged with black heads like a public bath.,0.8508856297,,a public bath,Adaptation,適応,原文「銭湯」を「a public bath」と訳し、日本の公衆浴場という文化要素を、ターゲット読者が機能的に理解できる一般的な公衆浴場の概念に置き換え、適応させている。
107,その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。,掛茶屋,"There were two bathing-booths on the shore, but I picked out one of them haphazard and made it my head-quarters.",0.5533088446,,bathing-booths,Adaptation,適応,「掛茶屋」を「bathing-booths」に置き換え、日本独自の海岸文化要素をターゲット読者が機能的に理解できる類似施設に適応させている。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,西洋人,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,foreigner,Generalization,最小化,原文「西洋人」を「foreigner」と一般化することで、特定の文化的・地理的ニュアンスを薄め、普遍的な「外部からの訪問者」という共通概念に収束させている。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,掛茶屋,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,booth,Generalization,最小化,「掛茶屋」を「booth」という一般的な「小間」に一般化し、日本の文化固有の茶屋の具体性を薄め、普遍的な空間概念に収束（最小化）させている。
124,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,浴衣,"He wore a real Japanese yukata,¹ which he took off and threw upon a bench in a bathhouse.",0.7087438703,1 A kind of kimono worn by men and women in summer.,yukata,¹,Amplification,"適応,「浴衣」を「yukata」と借用し、注釈で「A kind of kimono worn by men and women in summer」と詳細を増幅することで、読者が「浴衣」の機能と文脈を理解できるよう適応させている。"
126,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私には～～不思議だった。,猿股,"He had nothing on except  the short drawers which we wore, and this in itself  struck me as strange.",0.6402099133,,the short drawers which we wore,Generalization,最小化,「猿股」を「the short drawers」と訳すことで、日本固有の下着を一般的な「短い下着」という上位概念に一般化し、文化的な差異を最小化している。
128,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,由比ヶ浜,"Two days before I had gone  to Yuigahama, where I lolled for a long time on the  sand, watching foreigners swim.",0.7063750625,,Yuigahama,Borrowing,受容,原文「由井が浜」を「Yuigahama」と借用し、日本の特定の地名という文化的固有性をそのまま保持することで、読者にその差異の受容を促している。
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",0.5947585106,,なし,Reduction,否認,原文の「猿股」という具体的な文化的要素が訳文で完全に削除され、その痕跡を残していないため、文化差の存在を否認している。
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.8240408301,,the towel,Generalization,最小化,原文「手拭」を「the towel」と一般化し、日本固有の布としての文化差を普遍的な「タオル」という概念に収束させ、読者の違和感を最小化している。
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They stepped into  the waves at once, and passing through the multitude  who were screaming near the shore, went further  out to a considerably less crowded part, and began  to swim.",0.8221871853,,なし,Reduction,否認,原文の「遠浅」という、広範囲にわたる浅瀬という特定の地形情報が訳文では完全に削除されており、文化差の存在を否認している。
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,"This time the sensei came alone, wearing a straw hat.",0.5644889474,,a straw hat,Literal translation,最小化,原文「麦藁帽」を「a straw hat」と直訳し、両文化に共通する普遍的な帽子の概念に収束させることで、文化的な差異を最小化している。
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,白絣,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",0.5525385141,2 A kind of cotten cloth.,shirogasuri yukata,Amplification,適応,「白絣」を「shirogasuri」と借用しつつ「yukata」と補足（増幅）することで、読者が日本の夏着物の文脈を機能的に理解できるよう適応させている。
