Location,Highlight_JP,Note,Highlight_EN,Similarity
74,私はその人を常に先生と呼んでいた。,先生,Secretly  I always venerated him.,0.5287269949913025
78,私が先生と知り合いになったのは鎌倉である。,鎌倉,It was in Kamakura that we first met.,0.5758598446846008
79,その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,書生,I was a  young student then.,0.5670327544212341
79,その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,葉書,I was a  young student then.,0.5670327544212341
95,宿は鎌倉でも辺鄙な方角にあった。,鎌倉,The lodging was in an out-of-the-way comer in  Kamakura.,0.6954759955406189
96,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。,畷,“ 1 made this myself.”   She seemed to have plenty of time for making  ice-cream to treat her guests.,0.5146593451499939
97,車で行っても二十銭は取られた。,二十銭,"We could not reach such fashionable  enjoyments as billiards or ice-cream without travers-  ing a long lane between the rice-fields, and it cost  twenty sen to go by rickshaw.",0.47803452610969543
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,藁葺,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630601882935
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,都会人種,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630601882935
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,避暑,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630601882935
102,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,銭湯,Sometimes the sea was  thronged with black heads like a public bath.,0.8508856296539307
107,その時海岸には掛茶屋が二軒あった。,掛茶屋,I had tea and cakes there.,0.5533088445663452
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,西洋人,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093093872
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,掛茶屋,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093093872
124,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,浴衣,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.7087438702583313
126,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。,猿股,"He had nothing on except  the short drawers which we wore, and this in itself  struck me as strange.",0.6402099132537842
128,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,由比ヶ浜,"Two days before I had gone  to Yuigahama, where I lolled for a long time on the  sand, watching foreigners swim.",0.7063750624656677
135,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,猿股,"From the first, I was conscious of  something unapproachable and strange in this man.",0.5947585105895996
139,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,手拭い,"The  Japanese wrapped his head in the towel as soon as  he caught it, and began to walk towards the sea.",0.8240408301353455
143,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,遠浅,"They stepped into  the waves at once, and passing through the multitude  who were screaming near the shore, went further  out to a considerably less crowded part, and began  to swim.",0.8221871852874756
154,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,麦藁帽,The old straw hat with the handkerchief hanging  down from behind gradually fell into disuse.,0.56448894739151
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,白絣,"As soon as my eyes  glanced at the inside of the room, they lost their  capacity to move, as if they had been turned into  artificial ones made of glass.",0.5525385141372681
174,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,兵児帯,"As soon as my eyes  glanced at the inside of the room, they lost their  capacity to move, as if they had been turned into  artificial ones made of glass.",0.5525385141372681
225,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,鎌倉,That melancholy mood of mine had gradually  changed its tone since I returned home.,0.6208797097206116
238,下女の顔を見て少し躊躇してそこに立っていた。,下女,"I gazed intently at her innocent face, without realiz-  ing it until she asked me why I looked so strange.",0.7617042660713196
238,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,名刺,"As  I went to post my letter, I suddenly remembered  her figure, with a narrow obi put on comfortably.",0.6171696782112122
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。「,雑司ヶ谷,"The  sensei pointed to a tali one of orange hue, and said :    66    KOKORO    “ I suppose this is kirishima .” 1   A garden of peonies covered a plot about twenty  feet square, but it was too early for the flowers.",0.5485316514968872
241,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。「,仏,"The  sensei pointed to a tali one of orange hue, and said :    66    KOKORO    “ I suppose this is kirishima .” 1   A garden of peonies covered a plot about twenty  feet square, but it was too early for the flowers.",0.5485316514968872
246,それですぐ踵を回らした。,踵を回らした,So I turned round at once.,0.7727604508399963
248,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,苗畑,"I,  with my wet overcoat, passed through the shrine of  Konnyakuemma as usual, and walked along the  narrow slope toward home.",0.6691185235977173
249,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,茶店,"I thought you might be bored, so I    40    KOKORO    brought you some tea, but if you don’t mind, you  can have it in the other room.”   I followed her to the sitting-room, where an  iron tea-kettle was singing pleasantly on a beautifully  polished oblong brazier.",0.5782812833786011
266,一切衆生悉有仏生と書いた塔婆などが建ててあった。,一切衆生悉有仏生,"Beside the tomb-stones which  bore the words a certain so-and-so Isabella’s resting-  place, or the god’s servant Rogin’s long home, a  stupa stood, on which was written, “ All living things  possess the quality of Buddha,” and I noticed the  grave of an ambassador plenipotentiary So-and-so.",0.6032501459121704
266,一切衆生悉有仏生と書いた塔婆などが建ててあった。,塔婆,"Beside the tomb-stones which  bore the words a certain so-and-so Isabella’s resting-  place, or the god’s servant Rogin’s long home, a  stupa stood, on which was written, “ All living things  possess the quality of Buddha,” and I noticed the  grave of an ambassador plenipotentiary So-and-so.",0.6032501459121704
269,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,墓標,"It  seemed as if I, whose education was higher than  hers, was more conventional and formal than she  was in these matters.",0.5388599038124084
274,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,銀杏,"On the border of the walk stood a huge gingko-  tree, so tall that it seemed to be hiding the sky.",0.5639558434486389
276,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります」といった。,紅葉,"As  we stood under this tree, the sensei looked up at the  high branches and observed, “ It becomes very pretty  in a few weeks; The leaves turn entirely yellow,  and the ground hereabout will be covered with the  golden fallen leaves.” The sensei always walked  under this tree once a month?",0.7328303456306458
279,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,鍬,"The man, who was digging the uneven ground  to make a new resting-place, stopped his work, and  stood looking at us.",0.732342004776001
310,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,小春,It had happened in the  early hours of the evening.,0.670041561126709
312,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,銀杏,"As I talked with the sensei, there came to my  mind the image of the huge gingko-tree to which he  had specially attracted my attention.",0.6689969301223755
317,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,銀杏,”   .,0.647969126701355
318,「まだ空坊主にはならないでしょう」,空坊主,"“We haven’t very much; that is why he is  silent about it, 1 suppose.”   “ But won’t you tell me ?",0.6777845621109009
320,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,お墓参り,“ May I go with you when you visit the grave ?,0.8765090107917786
331,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。,雑司ヶ谷,I was a  young student then.,0.6306978464126587
351,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。,座敷,"Once  in a while I fell in with some students of his own  province, but none of them seemed as friendly with  him as I was.",0.6904538869857788
377,その内いつの間にか先生の食卓で飯を食うようになった。,食卓,At lunch I sat at the table facing him.,0.6684011220932007
393,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,盃,"Drawing her well-shaped eye-brows together,  she held to her lips the cup which I had half filled  with sake.",0.7199894785881042
