Location,Note,Highlight_JP,Highlight_EN,注釈
74,先生,私はその人を常に先生と呼んでいた。,"I ALWAYS called him ""Sensei.""","""Sensei"" : The English word ""teacher"" which comes closest in meaning to the Japanese word sensei is not satisfactory here. The French word maître would express better what is meant by sensei."
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,"It was at Kamakura, during the summer holidays, that I first met Sensei.",
79,書生,その時私はまだ若々しい書生であった。,I was then a very young student.,
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,"I went there at the insistence of a friend of mine, who had gone to Kamakura to swim. We were not together for long. It had taken me a few days to get together enough money to cover the necessary expenses, and it was only three days after my arrival that my friend received a telegram from home demanding his return.",
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。,"My inn was in a rather out-of-the-way district of Kamakura, and if one wished to indulge in such fashionable pastimes as playing billiards and eating ice cream, one had to walk a long way across rice fields. ",
97,二十銭,車で行っても二十銭は取られた。,"If one went by rickshaw, it cost twenty sen.",
99,藁葺,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",
99,都会人種,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",
99,避暑,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",
102,銭湯,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads.",
107,掛茶屋,その時海岸には掛茶屋が二軒あった。,"In those days, there were two tea houses on the beach.",
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He was standing with folded arms, facing the sea; carelessly thrown down on the stool by his side was a Japanese summer dress which he had been wearing.",
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。,He had on him only a pair of drawers such as we were accustomed to wear.,
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days previously I had gone to Yuigahama and, sitting on top of a small dune close to the rear entrance of a Western-style hotel, I had whiled away the time watching the Westerners bathe.",
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"After having observed such a scene, it was natural that I should think this Westerner, who stood so lightly clad in our midst, quite extraordinary.",
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese then tied the towel around his head, and immediately began to walk towards the sea.",
143,遠浅,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They strode determinedly into the water and, making their way through the noisy crowd, finally reached a quieter and deeper part of the sea.",
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time, he arrived without the Westerner, wearing a straw hat.",
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",
