Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
74,先生,私はその人を常に先生と呼んでいた。,"I ALWAYS called him ""Sensei.""","""Sensei"" : The English word ""teacher"" which comes closest in meaning to the Japanese word sensei is not satisfactory here. The French word maître would express better what is meant by sensei.",Sensei,Amplification,原文「先生」を「Sensei」と音写（借用）し、さらに注釈でその意味合いについて詳細な説明（増幅）を加えているため。,TRUE
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,"It was at Kamakura, during the summer holidays, that I first met Sensei.",,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、英訳にも注釈にも一切補足説明がないため。,TRUE
79,書生,その時私はまだ若々しい書生であった。,I was then a very young student.,,student,Generalization,「書生」という特定の身分や役割の学生を、より一般的な用語である「student」に一般化しているため。,TRUE
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,"I went there at the insistence of a friend of mine, who had gone to Kamakura to swim. We were not together for long. It had taken me a few days to get together enough money to cover the necessary expenses, and it was only three days after my arrival that my friend received a telegram from home demanding his return.",,insistence,Reduction,原文「端書」という文化的要素（連絡手段）が訳文から完全に省略され、その内容が「insistence」という形で間接的に表現されているため。,TRUE
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。,"My inn was in a rather out-of-the-way district of Kamakura, and if one wished to indulge in such fashionable pastimes as playing billiards and eating ice cream, one had to walk a long way across rice fields. ",,across rice fields,Description,原文の「畷」を、その機能や場所（田んぼの中を通る道）を説明する「across rice fields」に置き換えているため。,TRUE
97,二十銭,車で行っても二十銭は取られた。,"If one went by rickshaw, it cost twenty sen.",,twenty sen,Borrowing,原文「二十銭」を「twenty sen」と訳しており、「銭」という日本の通貨単位を音訳した表現「sen」で対応しているため。,TRUE
99,藁葺,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,thatched cottages,Established equivalent,原文「藁葺」が指す藁葺き屋根の家屋を表す、英語圏で定着している等価表現「thatched cottages」を使用しているため。,TRUE
99,都会人種,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,men and women,Reduction,原文「都会人種」が指す人々の「都会的」という属性情報が、訳文「men and women」からは省略されているため。,TRUE
99,避暑,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,men and women,Reduction,原文「避暑に来た男や女」の「避暑に来た」という目的の情報が、訳文「men and women」では完全に省略されているため。,TRUE
102,銭湯,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads.",,a public bath,Generalization,原文「銭湯」を、英語圏で定着している訳語「public bath」で対応させているため。,TRUE
107,掛茶屋,その時海岸には掛茶屋が二軒あった。,"In those days, there were two tea houses on the beach.",,tea houses,Generalization,"「掛茶屋」という特定的な概念を、""tea houses""という普遍的・中立的な概念に一般化しているため。",TRUE
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,Westerner,Literal translation,「西洋人」を「Westerner」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,tea house,Generalization,"「掛茶屋」という特定的な概念を、""tea houses""という普遍的・中立的な概念に一般化することで、読者に日本文化の特殊性を意識させず、物語の流れをスムーズにする（文化差を最小化する）ことを意図したと解釈できる。",TRUE
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He was standing with folded arms, facing the sea; carelessly thrown down on the stool by his side was a Japanese summer dress which he had been wearing.",,a Japanese summer dress,Description,原文「浴衣」という言葉を使わず、その形態や機能（日本の夏のドレス）を説明しているため。,TRUE
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。,He had on him only a pair of drawers such as we were accustomed to wear.,,a pair of drawers,Generalization,原文「猿股」という特定の形態の日本的下着を、より一般的・中立的な下着を指す「drawers」に一般化しているため。,TRUE
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days previously I had gone to Yuigahama and, sitting on top of a small dune close to the rear entrance of a Western-style hotel, I had whiled away the time watching the Westerners bathe.",,Yuigahama,Borrowing,原文「由井が浜」を「Yuigahama」と音写（ローマ字化）し、英訳文中に一切補足説明がないため。,TRUE
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"After having observed such a scene, it was natural that I should think this Westerner, who stood so lightly clad in our midst, quite extraordinary.",,lightly clad,Generalization,原文「猿股」という日本の下着が、より一般的な状態を表す「lightly clad（薄着）」という表現に一般化されているため。,TRUE
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese then tied the towel around his head, and immediately began to walk towards the sea.",,towel,Generalization,「手拭い」という日本の特定の文化的布製品を、より一般的で中立的な「towel」に一般化しているため。,TRUE
143,遠浅,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They strode determinedly into the water and, making their way through the noisy crowd, finally reached a quieter and deeper part of the sea.",,なし,Reduction,原文「遠浅」が指す「浅い場所」という地理的情報が、訳文では明示的な語句として省略されているため。,TRUE
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time, he arrived without the Westerner, wearing a straw hat.",,straw hat,Literal translation,原文「麦藁帽」を、英語圏で定着している等価語「straw hat」で対応させているため。,TRUE
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文の「白絣」という、先生が着用している着物の種類を示す文化的要素が、英訳では完全に省略されているため。,TRUE
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文にあった「兵児帯」という文化的要素が、訳文では完全に省略されているため。,TRUE
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,"A few days after my return, however, I began to feel less inclined to do so.",,なし,Reduction,原文の文化的要素「鎌倉」が、英訳には対応する語句がなく完全に省略されているため。,TRUE
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"I therefore hesitated in the front hall, staring at the maid who had informed me of her master's absence. ",,maid,Literal translation,原文「下女」を「the maid」と辞書的な意味の通りに直訳し、形式・機能・意味が概ね一致しているため。,TRUE
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,"She seemed to remember that I had called before and left my card.Asking me to wait, she went away.",,card,Generalization,原文の「名刺」という特定の情報カードを、より一般的・中立的な用語である「card」に置き換えているため。,TRUE
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写（ローマ字化）し、英訳に補足説明を一切加えていないため。,TRUE
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,grave,Modulation,[人-> 場所]「仏（霊/人）」から「墓（場所）」への変換は、抽象から具体への視点変更（部分と全体/メトニミー）であるため。,TRUE
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,From the left side of a field I entered the cemetery and proceeded along a broad avenue bordered on each side by maple trees.,,maple trees,Literal translation,原文「楓」を「maple trees」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
249,茶店,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"There was a tea house at the end of the avenue, and I saw coming out of it someone that looked like Sensei.",,tea house,Literal translation,原文「茶店」を「tea house」と、「茶（tea）」と「店（house）」を逐語訳して組み合わせ、構造的に借用しているため。,TRUE
266,一切衆生悉有仏生,先生と私は通りへ出ようとして墓の間を抜けた。 依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,All living things bear within themselves the essence of Buddha,Literal translation,「一切衆生悉有仏生」を「All living things bear within themselves the essence of Buddha.」と構成語句を逐語訳しているため。,TRUE
266,塔婆,一切衆生悉有仏生と書いた塔婆などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,those with Buddhist inscriptions,Description,「塔婆（Sotoba）」という具体的な仏教供養のための板を、その**機能・内容（仏教の碑文が書かれたもの）**を説明するフレーズに置き換えているため。,TRUE
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Sensei did not seem to find the way in which different customs were reflected in the tombstones amusing or ironical, as I did.",,tombstones,Literal translation,原文「墓標」を「tombstones」と、辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"Towards the end of the cemetery, there stood a gingko tree, so large that it almost hid the sky from view.",,gingko tree,Literal translation,「銀杏」を「gingko tree」と訳しており、これは英語圏で「イチョウの木」を指す確立された表現であるため。,TRUE
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The tree will be a mass of yellow, and the ground will be buried beneath a golden carpet of fallen leaves.",,a mass of yellow,Description,「黄葉」という現象そのものを直接訳さず、その結果としての視覚的な状態「a mass of yellow」で説明しているため。,TRUE
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"Not far from us in the cemetery, a man was leveling off a piece of rough ground. He stopped and, resting on his hoe, he watched us.",,hoe,Literal translation,原文「鍬」を、辞書的な意味が一致する「hoe」と直訳し、形式・機能・意味が一致しているため。,TRUE
310,小春,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"One evening, however, towards the end of the Indian summer, it was unexpectedly brought back to my mind.",,Indian summer,Established equivalent,原文の文化的要素である「小春」を、英語圏で慣用的に使われる等価語である「Indian Summer」で表現しているため。,TRUE
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I was talking to Sensei, I happened for some reason to think of the great gingko tree that he had pointed out to me.",,gingko tree,Literal translation,「銀杏」が英語圏で定着している植物名「gingko」という等価語で訳されており、辞書的な意味の通り形式・機能・意味が一致しているため。,TRUE
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Sensei, I wonder if the gingko tree at Zoshigaya has lost all its leaves by now?""",,gingko tree,Literal translation,原文「銀杏」を、英語圏で「イチョウの木」を指す定着した訳語「gingko tree」で対応させているため。,TRUE
318,空坊主,「まだ空坊主にはならないでしょう」,"""I doubt that it will be quite bare yet.""",,quite bare,Modulation,[比喩 → 意味]「坊主（比喩）」から「裸/何もない（意味/状態）」へ。比喩表現をその意味内容（Sense）に変換するのは、認識のカテゴリーを変えるModulation（変調）であるため。,TRUE
320,お墓参り,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,"""May I accompany you, when you next visit the grave?",,visit the grave,Literal translation,原文「お墓参り」を「visit the grave」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。二つの表情は全く同じだったのである。,And I was suddenly reminded of the way he looked that day at Zoshigaya when I called to him.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳・注釈のいずれにも補足説明を加えていないため。,TRUE
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。," Sometimes, I would find at his house students who were from the same part of the country as Sensei, but it seemed to me that none of them were as close to him as I was.",,at his house,Generalization,「座敷」が持つ日本の伝統家屋における特定の部屋（畳敷きの客間など）という固有の概念が、「at his house」という一般的な「家」という場所の概念に置き換えられており、読者はその文化的要素の固有性を認識せず、自文化にも存在する普遍的な「家」の空間として処理してしまうため。,TRUE
377,食卓,その内いつの間にか先生の食卓で飯を食うようになった。,"And before long, I found myself dining at his house occasionally.",,his house,Generalization,原文の「食卓」という具体的な場所や家具の情報が、訳文の「house」というより一般的な場所になり、食卓という文化的要素が省略されているため。,TRUE
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Frowning slightly, she raised to her lips the cup that I had half-filled for her.",,cup,Generalization,原文「盃」が日本酒を飲む特定の器を指すのに対し、訳文「cup」はより一般的な飲み物容器を指しており、抽象化されているため。,TRUE
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"Sensei s wife was silent.""Why not?"" I asked.""Divine punishment,"" Sensei answered, and laughed rather loudly.",,Divine punishment,Literal translation,「天（Divine）」＋「罰（punishment）」は、辞書的な意味を逐語的に並べた表現であり、英語としても自然です。ターゲット言語に存在しない不自然な構造の導入（Calqueの定義）ではないため。,TRUE
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,Hakone,Borrowing,原文「箱根」を「Hakone」と音写し、英訳文および注釈に一切補足説明がないため。,TRUE
424,葉書,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,postcard,Literal translation,原文「葉書」を、英語圏で定着している等価語「a postcard」で対応させているため。,TRUE
