Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
74,先生,私はその人を常に先生と呼んでいた。,"I ALWAYS called him ""Sensei.""","""Sensei"" : The English word ""teacher"" which comes closest in meaning to the Japanese word sensei is not satisfactory here. The French word maître would express better what is meant by sensei.",Sensei,Amplification,原文「先生」を「Sensei」と音写（借用）し、さらに注釈でその意味合いについて詳細な説明（増幅）を加えているため。,True,Adaptation,「Sensei」という音写で固有性を保ちつつ、英語の「teacher」では不十分であり、フランス語の「maître」がより適切であるという注釈により、読者にその文化的要素の機能やニュアンスを推測させる「橋渡し」が試みられているため。
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,"It was at Kamakura, during the summer holidays, that I first met Sensei.",,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、英訳にも注釈にも一切補足説明がないため。,True,Acceptance,「Kamakura」が音写されており、その意味や背景に関する補足説明がないため、読者はそれが自文化にはない固有の地名であると認識するが、それ以上の深い理解には至らないため。
79,書生,その時私はまだ若々しい書生であった。,I was then a very young student.,,student,Generalization,「書生」という特定の身分や役割の学生を、より一般的な用語である「student」に一般化しているため。,True,Minimization,「書生」という日本固有の文化的要素が、英訳では「student」という一般的な概念に完全に置き換えられており、その特定の時代背景や生活様式といった固有のニュアンスが失われているため、読者は自国の「若い学生」と同じものとして処理し、固有性を意識できない状態にある。
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,"I went there at the insistence of a friend of mine, who had gone to Kamakura to swim. We were not together for long. It had taken me a few days to get together enough money to cover the necessary expenses, and it was only three days after my arrival that my friend received a telegram from home demanding his return.",,insistence,Reduction,原文「端書」という文化的要素（連絡手段）が訳文から完全に省略され、その内容が「insistence」という形で間接的に表現されているため。,True,Minimization,「端書」という日本固有の具体的な通信手段（はがき）としての固有性が失われ、「insistence」（しつこい要求、主張）というより普遍的な行為や態度に置き換えられているため、読者はその文化的要素を自文化の「友人の強い誘い」と誤って処理し、固有性を意識しない。
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。,"My inn was in a rather out-of-the-way district of Kamakura, and if one wished to indulge in such fashionable pastimes as playing billiards and eating ice cream, one had to walk a long way across rice fields. ",,across rice fields,Description,原文の「畷」を、その機能や場所（田んぼの中を通る道）を説明する「across rice fields」に置き換えているため。,True,Minimization,「畷」が持つ「田んぼの中の細い道」という固有の概念が、「across rice fields（田んぼを横切って）」という、より一般的な場所や行為を示す表現に置き換えられており、読者はその文化要素の固有性を意識せず、普遍的な情景として処理するため。
97,二十銭,車で行っても二十銭は取られた。,"If one went by rickshaw, it cost twenty sen.",,twenty sen,Borrowing,原文「二十銭」を「twenty sen」と訳しており、「銭」という日本の通貨単位を音訳した表現「sen」で対応しているため。,True,Acceptance,補足なく日本の固有の貨幣単位「sen」がそのまま提示されており、読者はその具体的な価値は不明ながらも「自文化とは異なる貨幣単位」として差異を認識するため。
99,藁葺,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,thatched cottages,Established equivalent,原文「藁葺」が指す藁葺き屋根の家屋を表す、英語圏で定着している等価表現「thatched cottages」を使用しているため。,True,Minimization,「thatched cottages」は英語圏にも存在する一般的な概念であり、「old and smoke-blackened」という形容も普遍的な状態を示すため、読者は日本の藁葺き屋根の固有の建築様式や文化的文脈を意識せず、自文化の既知の概念に置き換えて理解する可能性が高いため。
99,都会人種,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,men and women,Reduction,原文「都会人種」が指す人々の「都会的」という属性情報が、訳文「men and women」からは省略されているため。,True,Minimization,「都会人種」が持つ「都会から来た避暑客」という特定の背景や、その人々に対する観察者の驚きといった固有のニュアンスが、普遍的な「men and women」に置き換えられることで完全に失われ、読者は自国の一般的な人々と同様に処理するため。
99,避暑,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,men and women,Reduction,原文「避暑に来た男や女」の「避暑に来た」という目的の情報が、訳文「men and women」では完全に省略されているため。,True,Minimization,「避暑に来た男や女」が単に「men and women」と訳されており、「避暑」という日本固有の文化的背景（暑さを避けるための旅行や滞在）が削除され、読者はその固有性を意識せず自国の一般的なレジャー客と同じものとして処理するため。
102,銭湯,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads.",,a public bath,Generalization,原文「銭湯」を、英語圏で定着している訳語「public bath」で対応させているため。,True,Minimization,「銭湯」が「a public bath」という普遍的な概念に置き換えられており、日本の銭湯が持つ独自の文化的な特徴や固有性（特定の雰囲気、番台、地域コミュニティでの役割など）が消滅しているため、読者は自国の既知の概念と同一視してしまう可能性が高いため。
