Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無,DMIS,DMISの選出理由
74,先生,私はその人を常に先生と呼んでいた。だからここでもただ先生と書くだけで本名は打ち明けない。これは世間を 憚 かる遠慮というよりも、その方が私にとって自然だからである。私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。,"I never called him anything else, so I will write about him here only as the sensei without mentioning his name, not because of any hesitation in doing so, but simply because the sensei comes naturally to my mind when I think of him.",sensei: A Japanese word for teacher. But even the professors of a university are called sensei by the students.,sensei,Amplification,原文「先生」を「sensei」と借用し、さらに注釈で「A Japanese word for teacher...」と詳細な説明（増幅）を加えているため。,True,Adaptation,音写された「sensei」に対し、注釈で基本的な意味に加え「大学教授にも使われる」という具体的な機能や文脈が論理的に説明されており、読者はその異文化での使われ方や固有性を文脈的に理解できるため。
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,It was in Kamakura that we first met.,,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、補足説明を加えていないため。,True,Acceptance,「Kamakura」が補足説明なく固有名詞としてそのまま提示されており、読者Aさんにはそれが「自分の文化とは異なる特定の場所の名称」であるという差異は認識できるものの、その意味や背景についての情報が不足しているため。
79,書生,その時私はまだ若々しい書生であった。,I was a young student then.,,student,Generalization,原文「書生」を、特定の身分の学生からより一般的な用語である「student」に一般化しているため。,True,Minimization,「書生」が持つ特定の時代や身分、役割といった文化的固有性が失われ、普遍的な「student」に完全に置き換えられているため、読者は自国の学生と同じような一般的な概念として処理し、異文化の差異を認識しないため。
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。私は金の工面に二、三日を費やした。,"A friend who was staying there during the vacation asked me to come and spend a few days with him, and after waiting two or three days to raise the extra money, I went.",,asked me to come,Reduction,原文の「端書」という媒体に関する情報が、訳文では完全に省略され、「友人が来るよう頼んだ」という行為のみで表現されているため。,True,Minimization,「端書」という略式通信手段の固有性が失われ、「友達が誘った」という普遍的な行為に置き換えられているため、読者はその文化要素を自文化の既知の概念として処理し、固有性を認識できない。
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で行っても二十銭は取られた。,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw.",,a long lane between the rice-fields,Description,原文「畷」を、その形態と機能を示す「a long lane between the rice-fields」と説明しているため。,True,Adaptation,「畷」を「a long lane between the rice-fields」と具体的に説明しており、単に一般的な「道」と置換するのではなく、その地理的・物理的な特徴を明確に記述している。これにより、読者はこの文化的要素がどのようなもので、文中でどのような機能（都市の娯楽へ到達するための物理的な障害）を持つのかを論理的に理解し、情景を想起できるため。
97,二十銭,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で行っても二十銭は取られた。,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw.",,twenty sen,Borrowing,原文「二十銭」を「twenty sen」と訳しており、「銭」という日本の通貨単位を音訳した表現「sen」で対応しているため。,True,Acceptance,「二十銭」を補足説明なく「twenty sen」と音写に近い形でそのまま提示しており、読者は「sen」が自文化とは異なる固有の通貨単位であると認識し、差異を受け入れようとする状態にあるため。
99,藁葺,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,straw-thatched,Literal translation,「藁（Straw）」＋「葺（Thatched）」という構成要素の直訳。,True,Minimization,「藁葺」という日本家屋の伝統的な特徴が「straw-thatched houses」という普遍的な素材説明に置き換えられており、読者はその文化的固有性を意識せず、自文化にある「藁で屋根が葺かれた家」という概念に当てはめて処理するため。
99,都会人種,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,town people,Literal translation,原文「都会人種」を「都会」→「town」、「人種」→「people」とそれぞれ辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,True,Minimization,「都会人種」が持つ「避暑地に訪れる特定の層の都会人」という社会的・文化的固有性や、「人種」という語が持つ含意が失われ、普遍的な「都市住民」を指す「town people」に置き換えられているため、読者は自文化の既知の概念として処理し、固有性を意識しないと判断できる。
99,避暑,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,town people,Reduction,原文の「避暑」という、暑さを避ける目的で訪れる情報が、訳文では省略され、「town people」という一般的な人々の描写となっているため。,True,Minimization,原文の「避暑に来た」という、特定の季節に特定の目的で行われる文化的行動が、「town people」という、より一般的な「都市の住民」という概念に置き換えられており、「避暑」の固有性や背後にある文化的な文脈が失われているため。
102,銭湯,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,Sometimes the sea was thronged with black heads like a public bath.,,public bath,Generalization,原文の「銭湯」が指す日本固有の公衆浴場という具体的な概念を、より一般的・中立的な「public bath」に抽象化しているため。,True,Minimization,「銭湯」が一般的な「public bath」に置換されており、読者は自文化の公衆浴場の概念で理解するため、日本の銭湯が持つ固有の文化的な違いや背景を認識できない状態にあると判断されるため。
