Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,translation_method,dmis_stage,備考
74,私はその人を常に先生と呼んでいた。だから～～使う気にならない,先生,"I never called him anything else, so I will write about him here only as the sensei without mentioning his name, not because of any hesitation in doing so, but simply because the sensei comes naturally to my mind when I think of him.",0.528726995,,借用,受容,"原文「先生」を""sensei""と借用し、日本文化固有の敬称と人間関係のニュアンスを保持した。これは文化差を認め、そのまま提示する受容段階を意図的に採用したと解釈できる。"
78,私が先生と知り合いになったのは鎌倉である。,鎌倉,It was in Kamakura that we first met.,0.5758598447,,借用,受容,"原文「鎌倉」を""Kamakura""と固有名詞としてそのまま保持し、日本の地名という文化差を認め受容する段階を意図的に選択した。"
79,その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,書生,"I was a  young student then.",0.5670327544,,調整,最小化,"原文「書生」を""young student""と訳し、日本の特定の学生像をより普遍的な「若い学生」という概念に調整することで、文化差を最小化した。"
79,その時私はまだ若々しい書生であった。暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,葉書,"A friend who was staying there during the vacation asked me to come and spend a few days with him, and after waiting two or three days to raise the extra money, I went.",0.5670327544,,翻案,適応,原文「端書」という通信手段を訳文で「asked me to come」というメッセージ内容に翻案し、通信手段の差異を適応段階の再構築で解消した。
95,宿は鎌倉でも辺鄙な方角にあった。,鎌倉,The lodging was in an out-of-the-way comer in  Kamakura.,0.6954759955,,借用,受容,"原文「鎌倉」を""Kamakura""と借用することで、固有名詞の文化差異をそのまま保持し、受容段階を演じて訳出した。"
96,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で～取られた。,畷,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw. ",0.5146593451,,調整,適応,"原文「畷」を""a long lane between the rice-fields""と、日本の風景を説明的に再構築する調整手法で他文化視点に寄せた。これは適応段階の翻訳と解釈できる。"
97,玉突きだの～～届かなかった。車で行っても二十銭は取られた。,二十銭,"We could not reach such fashionable  enjoyments as billiards or ice-cream without travers-  ing a long lane between the rice-fields, and it cost  twenty sen to go by rickshaw.",0.4780345261,,借用,受容,原文「二十銭」を「twenty sen」と訳出し、日本の固有通貨単位「銭」を借用し、文化的な差異を保持したため。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,藁葺,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,翻案,否認,原文「藁葺の間を通り抜けて」が訳文で省略され、「藁葺」の文化要素が削除された。これは、文化差を無視する否認段階を演じつつ、原文の情景描写という導入機能が状況描写へ置き換わる翻案である。
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,都会人種,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,直訳,受容,"「都会人種」を""town people""と直訳的に表現し、都会出身者という概念を自然に提示。原文の文化的な含意を損なわず受け入れているため、受容段階である。"
99,古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,避暑,There were so  many people on the sand that one wondered where  all the town people stayed.,0.7191630602,,調整,最小化,原文「避暑に来た男や女」を英訳「town people」とし、避暑という行為からその主体へ視点を調整。文化要素「避暑」を一般的な「都会の人々」に変換し、差異を最小化。
102,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,銭湯,Sometimes the sea was  thronged with black heads like a public bath.,0.8508856297,,等価,最小化,"原文「銭湯のように」を""like a public bath""と訳し、日本の銭湯文化を英語圏の「public bath」という共通概念で置き換えることで文化差を最小化している。"
107,その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。,掛茶屋,"There were two bathing-booths on the shore, but I picked out one of them haphazard and made it my head-quarters.",0.5533088446,,翻案,適応,原文「掛茶屋」を英訳「bathing-booths」とすることで、文化状況そのものをターゲット読者が理解しやすい海岸の休憩施設に置き換え、意味機能を揃えている。これは他文化視点に寄せた「適応」である。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,西洋人,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,調整,最小化,「西洋人」を「foreigner」へ調整し、特定の文化・地域属性（西洋）を「外来者」という普遍的表現に最小化。これにより文化差を共通点に収束させている。
123,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,掛茶屋,"The moment the exceedingly white skin  of that foreigner made its appearance in the booth,  my attention was fixed upon him.",0.7703334093,,調整,最小化,原文「掛茶屋」を訳文「the booth」と訳すことで、文化特有の「茶屋」という情報を削除し、両文化に共通する「小部屋」という側面へ差異を最小化した。
124,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,浴衣,"He wore a real Japanese yukata,¹ which he took off and threw upon a bench in a bathhouse.",0.7087438703,1 A kind of kimono worn by men and women in summer.,借用,受容,"原文「浴衣」を""yukata""で借用し、注釈で補足。文化差を認め、理解を促しつつ差異を保持する「受容」を演じた。"
126,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私には～～不思議だった。,猿股,"He had nothing on except  the short drawers which we wore, and this in itself  struck me as strange.",0.6402099133,,調整,最小化,原文の「猿股」を、機能的・形状的側面を捉えた「short drawers」に「調整」し、文化固有の差異を「下着」という共通点に「最小化」した。
128,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,由比ヶ浜,"Two days before I had gone  to Yuigahama, where I lolled for a long time on the  sand, watching foreigners swim.",0.7063750625,,借用,受容,"原文「由井が浜」を""Yuigahama""と借用し、固有名詞の文化差をそのまま保持することで、日本固有の場所であることを受容するモードを演じた。"
