Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,翻訳技法の選出理由,技法検閲有無
74,先生,私はその人を常に先生と呼んでいた。だからここでもただ先生と書くだけで本名は打ち明けない。これは世間を 憚 かる遠慮というよりも、その方が私にとって自然だからである。私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。,"I never called him anything else, so I will write about him here only as the sensei without mentioning his name, not because of any hesitation in doing so, but simply because the sensei comes naturally to my mind when I think of him.",sensei: A Japanese word for teacher. But even the professors of a university are called sensei by the students.,sensei,Amplification,原文「先生」を「sensei」と借用し、さらに注釈で「A Japanese word for teacher...」と詳細な説明（増幅）を加えているため。,TRUE
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,It was in Kamakura that we first met.,,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、補足説明を加えていないため。,TRUE
79,書生,その時私はまだ若々しい書生であった。,I was a young student then.,,student,Generalization,原文「書生」を、特定の身分の学生からより一般的な用語である「student」に一般化しているため。,TRUE
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。私は金の工面に二、三日を費やした。,"A friend who was staying there during the vacation asked me to come and spend a few days with him, and after waiting two or three days to raise the extra money, I went.",,asked me to come,Reduction,原文の「端書」という媒体に関する情報が、訳文では完全に省略され、「友人が来るよう頼んだ」という行為のみで表現されているため。,TRUE
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で行っても二十銭は取られた。,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw.",,a long lane between the rice-fields,Description,原文「畷」を、その形態と機能を示す「a long lane between the rice-fields」と説明しているため。,TRUE
97,二十銭,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。車で行っても二十銭は取られた。,"We could not reach such fashionable enjoyments as billiards or ice-cream without traversing a long lane between the rice-fields, and it cost twenty sen to go by rickshaw.",,twenty sen,Borrowing,原文「二十銭」を「twenty sen」と訳しており、「銭」という日本の通貨単位を音訳した表現「sen」で対応しているため。,TRUE
99,藁葺,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,straw-thatched,Literal translation,「藁（Straw）」＋「葺（Thatched）」という構成要素の直訳。,TRUE
99,都会人種,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,town people,Literal translation,原文「都会人種」を「都会」→「town」、「人種」→「people」とそれぞれ辞書的な意味通りに直訳し、形式・機能・意味が一致しているため。,TRUE
99,避暑,私は毎日海へ入りに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。,"Every day I went to the seashore to bathe, going down to the beach between the sootcovered, straw-thatched houses. There were so many people on the sand that one wondered where all the town people stayed.",,town people,Reduction,原文の「避暑」という、暑さを避ける目的で訪れる情報が、訳文では省略され、「town people」という一般的な人々の描写となっているため。,TRUE
102,銭湯,ある時は海の中が銭湯のように黒い頭でごちゃごちゃしている事もあった。,Sometimes the sea was thronged with black heads like a public bath.,,public bath,Generalization,原文の「銭湯」が指す日本固有の公衆浴場という具体的な概念を、より一般的・中立的な「public bath」に抽象化しているため。,TRUE
107,掛茶屋,その時海岸には掛茶屋が二軒あった。私はふとした機会からその一軒の方に行き慣れていた。,"There were two bathing-booths on the shore, but I picked out one of them haphazard and made it my head-quarters.",,bathing-booths,Adaptation,原文の「掛茶屋（飲食・休憩機能を含む）」を、ターゲット文化（西欧）の海水浴文化において一般的かつ機能的に等価な「bathing-booths（更衣用小屋）」という文化的実体に置き換えているため。,TRUE
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The moment the exceedingly white skin of that foreigner made its appearance in the booth, my attention was fixed upon him.",,foreigner,Generalization,「西洋人」という特定の地域出身者を指す言葉を、より一般的な「foreigner（外国人）」に一般化しているため。,TRUE
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The moment the exceedingly white skin of that foreigner made its appearance in the booth, my attention was fixed upon him.",,the booth,Generalization,原文「掛茶屋」を、より一般的・中立的な用語である「the booth」（仕切られた空間、売店、屋台）に一般化しているため。,TRUE
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He wore a real Japanese yukata, which he took off and threw upon a bench in a bathhouse. He then crossed his arms and stood facing the sea.",yukata: A kind of kimono worn by men and women in summer.,yukata,Amplification,原文「浴衣」を「yukata」と借用し、さらに注釈で「A kind of kimono worn by men and women in summer.」と説明（増幅）を加えているため。,TRUE
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。私には～～不思議だった。,"He had nothing on except the short drawers which we wore, and this in itself struck me as strange.",,short drawers,Generalization,原文「猿股」を、日本の伝統的な下着からより一般的で中立的な「short drawers」に一般化しているため。,TRUE
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days before I had gone to Yuigahama, where I lolled for a long time on the sand, watching foreigners swim.",,Yuigahama,Borrowing,原文「由井が浜」を「Yuigahama」と音写し、補足説明を加えていないため。,TRUE
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"Fresh from this introduction to foreign methods of bathing, I was surprised at this man's indifference to exposing his body.",,exposing his body,Reduction,原文の「猿股」という特定の衣類の情報が、訳文では「exposing his body」という一般的な露出の表現に削減されているため。,TRUE
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese wrapped his head in the towel as soon as he caught it, and began to walk towards the sea.",,towel,Generalization,原文「手拭」を、日本の伝統的な布（切りっぱなしの木綿）という特定の意味合いを持つ用語から、より一般的・中立的な「towel」（一般的にはタオルはパイル地）に一般化しているため。,TRUE
143,遠浅,すると彼らは 真直 に波の中に足を踏み込んだ。そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They stepped into the waves at once, and passing through the multitude who were screaming near the shore, went further out to a considerably less crowded part, and began to swim.",,なし,Reduction,原文にあった「遠浅」という地形的特徴が、訳文で対応する表現がなく完全に省略されているため。,TRUE
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time the sensei came alone, wearing a straw hat. ",,straw hat,Literal translation,「麦藁（Straw）」＋「帽（Hat）」という構成要素ごとの直訳であり、辞書的な意味・形式が完全に一致しているため。,TRUE
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,"It was not until he fastened hekoobi around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",sirogasuri: A kind of cotten cloth.,shirogasuri yukata,Amplification,原文「白絣」を「shirogasuri」と音写しつつ「yukata」という詳細を加え、さらに注釈で「A kind of cotten cloth」と補足説明（増幅）しているため。,TRUE
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。,"It was not until he fastened hekoobi¹ around his shirogasuri yukata that he discovered his loss, and suddenly began to search for them everywhere.",hekoobi: A kind of sash,hekoobi,Amplification,原文「兵児帯」を「hekoobi」と音写（借用）し、さらに「A kind of sash」という注釈（詳細）を加えているため。,TRUE
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,But two or three days in the city dimmed the glamour of Kamakura.,,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、英訳・注釈にも補足説明がないため。,TRUE
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"So I did not turn away at once, but stood looking at the maid's face, hesitating.",,maid,Literal translation,原文「下女」を「maid」と辞書的な意味の通りに直訳し、形式・機能・意味が一致しているため。,TRUE
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいった。,"The maid, recognizing me as the visitor of the previous day, left me there and disappeared within the house.",,なし,Reduction,原文にあった「名刺」という文化的要素が、訳文で対応する語句がなく、具体的な情報が完全に省略されているため。,TRUE
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳に補足説明が一切ないため。,TRUE
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,She told me politely that the sensei was accustomed to visit a certain grave in Zoshigaya on that day every month.,,grave,Modulation,[人 → 場所]原文「仏」が「故人」を指すのに対し、訳文「grave」は「墓」という場所を指す。対象の認知的カテゴリーが「人」から「場所」へ変更されているため。,TRUE
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",,mapletrees,Literal translation,原文「楓」を、英語圏で確立している等価語である「maple tree」の複数形「mapletrees」で対応させているため。,TRUE
249,茶店,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"I entered the cemetery from the left-hand side of the field of young plants in front of it, and proceeded along the wide walk bordered with mapletrees, when suddenly from the farthest extremity a man who looked like the sensei came out of a restingbooth.",,restingbooth,Description,原文「茶店」を「restingbooth」と訳しており、その機能（resting）と形態（booth）を説明しているため。茶店（Tea house）と定訳を使っていない。,TRUE
266,一切衆生悉有仏生,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。全権公使何々というのもあった。,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",,"""All living things possess the quality of Buddha""",Literal translation,原文「一切衆生悉有仏生」を「All living things possess the quality of Buddha」と、構成要素を逐語訳しているため。構造模倣による不自然さもない。,TRUE
266,塔婆,依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。全権公使何々というのもあった。,"Beside the tomb-stones which bore the words a certain so-and-so Isabella's restingplace, or the god's servant Rogin's long home, a stupa stood, on which was written, ""All living things possess the quality of Buddha,"" and I noticed the grave of an ambassador plenipotentiary So-and-so.",,a stupa,Established equivalent,原文「塔婆」を、英語圏で仏教の特定の構造物を指す言葉として確立している「stupa」という等価語で訳しているため。,TRUE
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Unlike me, the sensei did not seem to see humour or irony in the way those who had been left behind expressed their grief on those stones.",,stones,Generalization,原文の「墓標」を「stones」と訳しており、特定の機能を持つ「墓標」を、より一般的・中立的な「石」に一般化しているため。,TRUE
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"On the border of the walk stood a huge gingko- tree, so tall that it seemed to be hiding the sky.",,gingko- tree,Literal translation,「銀杏」を「gingko- tree」と訳しており、これは英語圏で「イチョウの木」を指す確立された表現であるため。,TRUE
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The leaves turn entirely yellow, and the ground hereabout will be covered with the golden fallen leaves.",,turn entirely yellow,Description,原文「黄葉」という言葉を使わず、その現象・状態を「turn entirely yellow」と説明に置き換えているため。,TRUE
